Temp (c),Elevation,Time_observation,timestamp_climate,selected,number,true.positive,positivity.level,actual,notes,validator,Selection,View,Channel,Begin.Time,End.Time,Low.Freq,High.Freq,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,1,NA,NA,,,Eliza,19,Spectrogram 1,1,753,756,0,15000,Green Warbler,grnwar1,0.8373,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,153
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,2,NA,NA,,,Eliza,20,Spectrogram 1,1,762,765,0,15000,Green Warbler,grnwar1,0.5559,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,162
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,3,NA,NA,,,Eliza,21,Spectrogram 1,1,765,768,0,15000,Green Warbler,grnwar1,0.6411,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,165
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,4,NA,NA,,,Eliza,22,Spectrogram 1,1,768,771,0,15000,Green Warbler,grnwar1,0.8105,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,168
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,5,NA,NA,,,Eliza,23,Spectrogram 1,1,771,774,0,15000,Green Warbler,grnwar1,0.9602,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,171
20.602,400500,20240118_083000,2024-01-18 08:30:00,TRUE,6,TRUE,1,,,Eliza,24,Spectrogram 1,1,774,777,0,15000,Green Warbler,grnwar1,0.8035,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,174
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,7,NA,NA,,,Eliza,25,Spectrogram 1,1,783,786,0,15000,Green Warbler,grnwar1,0.9119,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,183
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,8,NA,NA,,,Eliza,26,Spectrogram 1,1,786,789,0,15000,Green Warbler,grnwar1,0.8844,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,186
20.602,400500,20240118_083000,2024-01-18 08:30:00,TRUE,9,TRUE,1,,,Eliza,27,Spectrogram 1,1,789,792,0,15000,Green Warbler,grnwar1,0.9917,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,189
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,10,NA,NA,,,Eliza,28,Spectrogram 1,1,792,795,0,15000,Green Warbler,grnwar1,0.8963,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,192
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,11,NA,NA,,,Eliza,29,Spectrogram 1,1,795,798,0,15000,Green Warbler,grnwar1,0.985,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,195
20.602,400500,20240118_083000,2024-01-18 08:30:00,TRUE,12,TRUE,1,,,Eliza,30,Spectrogram 1,1,798,801,0,15000,Green Warbler,grnwar1,0.9902,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,198
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,13,NA,NA,,,Eliza,31,Spectrogram 1,1,801,804,0,15000,Green Warbler,grnwar1,0.9594,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,201
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,14,NA,NA,,,Eliza,32,Spectrogram 1,1,804,807,0,15000,Green Warbler,grnwar1,0.9409,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,204
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,15,NA,NA,,,Eliza,33,Spectrogram 1,1,807,810,0,15000,Green Warbler,grnwar1,0.8884,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,207
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,16,NA,NA,,,Eliza,34,Spectrogram 1,1,810,813,0,15000,Green Warbler,grnwar1,0.9729,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,210
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,17,NA,NA,,,Eliza,35,Spectrogram 1,1,813,816,0,15000,Green Warbler,grnwar1,0.9422,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,213
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,18,NA,NA,,,Eliza,36,Spectrogram 1,1,816,819,0,15000,Green Warbler,grnwar1,0.9366,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,216
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,19,NA,NA,,,Eliza,37,Spectrogram 1,1,819,822,0,15000,Green Warbler,grnwar1,0.8863,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,219
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,20,NA,NA,,,Eliza,38,Spectrogram 1,1,828,831,0,15000,Green Warbler,grnwar1,0.7648,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,228
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,21,NA,NA,,,Eliza,39,Spectrogram 1,1,831,834,0,15000,Green Warbler,grnwar1,0.8392,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,231
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,22,NA,NA,,,Eliza,40,Spectrogram 1,1,846,849,0,15000,Green Warbler,grnwar1,0.8688,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,246
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,23,NA,NA,,,Eliza,41,Spectrogram 1,1,849,852,0,15000,Green Warbler,grnwar1,0.8626,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,249
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,24,NA,NA,,,Eliza,42,Spectrogram 1,1,852,855,0,15000,Green Warbler,grnwar1,0.893,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,252
20.602,400500,20240118_083000,2024-01-18 08:30:00,TRUE,25,TRUE,1,,,Eliza,43,Spectrogram 1,1,855,858,0,15000,Green Warbler,grnwar1,0.6916,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,255
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,26,NA,NA,,,Eliza,44,Spectrogram 1,1,858,861,0,15000,Green Warbler,grnwar1,0.7772,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,258
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,27,NA,NA,,,Eliza,45,Spectrogram 1,1,864,867,0,15000,Green Warbler,grnwar1,0.6504,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,264
20.602,400500,20240118_083000,2024-01-18 08:30:00,FALSE,28,NA,NA,,,Eliza,46,Spectrogram 1,1,870,873,0,15000,Green Warbler,grnwar1,0.9476,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_083000.WAV,270
21.602,400500,20240118_093000,2024-01-18 09:30:00,FALSE,29,NA,NA,,,Eliza,61,Spectrogram 1,1,1170,1173,0,15000,Green Warbler,grnwar1,0.7198,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_093000.WAV,270
27.603,400500,20240118_123000,2024-01-18 12:30:00,FALSE,30,NA,NA,,,Eliza,65,Spectrogram 1,1,1527,1530,0,15000,Green Warbler,grnwar1,0.5847,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_123000.WAV,27
27.603,400500,20240118_123000,2024-01-18 12:30:00,FALSE,31,NA,NA,,,Eliza,66,Spectrogram 1,1,1533,1536,0,15000,Green Warbler,grnwar1,0.5429,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_123000.WAV,33
28.103,400500,20240118_153000,2024-01-18 15:30:00,FALSE,32,NA,NA,,,Eliza,92,Spectrogram 1,1,2307,2310,0,15000,Green Warbler,grnwar1,0.5524,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_153000.WAV,207
28.103,400500,20240118_153000,2024-01-18 15:30:00,TRUE,33,TRUE,1,,,Eliza,95,Spectrogram 1,1,2391,2394,0,15000,Green Warbler,grnwar1,0.5469,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_153000.WAV,291
25.604,400500,20240118_173000,2024-01-18 17:30:00,FALSE,34,NA,NA,,,Eliza,97,Spectrogram 1,1,2601,2604,0,15000,Green Warbler,grnwar1,0.6834,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240118_173000.WAV,201
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,35,NA,NA,,,Eliza,132,Spectrogram 1,1,7212,7215,0,15000,Green Warbler,grnwar1,0.7453,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,12
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,36,NA,NA,,,Eliza,133,Spectrogram 1,1,7218,7221,0,15000,Green Warbler,grnwar1,0.6028,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,18
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,37,NA,NA,,,Eliza,134,Spectrogram 1,1,7236,7239,0,15000,Green Warbler,grnwar1,0.7452,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,36
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,38,NA,NA,,,Eliza,135,Spectrogram 1,1,7248,7251,0,15000,Green Warbler,grnwar1,0.7867,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,48
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,39,NA,NA,,,Eliza,137,Spectrogram 1,1,7296,7299,0,15000,Green Warbler,grnwar1,0.883,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,96
21.102,400500,20240119_083000,2024-01-19 08:30:00,TRUE,40,TRUE,1,,interesting call and note,Eliza,138,Spectrogram 1,1,7302,7305,0,15000,Green Warbler,grnwar1,0.9136,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,102
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,41,NA,NA,,,Eliza,141,Spectrogram 1,1,7311,7314,0,15000,Green Warbler,grnwar1,0.6788,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,111
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,42,NA,NA,,,Eliza,143,Spectrogram 1,1,7332,7335,0,15000,Green Warbler,grnwar1,0.861,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,132
21.102,400500,20240119_083000,2024-01-19 08:30:00,FALSE,43,NA,NA,,,Eliza,144,Spectrogram 1,1,7341,7344,0,15000,Green Warbler,grnwar1,0.5378,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,141
